label,provider,model,category,metric,estimate,ci_low,ci_high,n_scored,n_calibration,n_self_consistency,n_hallucination_denominator,n_abstained,n_abstention_target,valid_resamples,undefined_resamples
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,ece_confidence,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,brier_confidence,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,ece_self_consistency,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,brier_self_consistency,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,hallucination_rate,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,abstention_precision,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,abstention_recall_category5,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,abstention_recall_category4,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,behavior_success,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,hedging_success_category4,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,ece_confidence:5,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,ece_confidence:15,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,hallucination_threshold_0.7,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_high_certainty,hallucination_threshold_0.9,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,ece_confidence,0.44999999999999996,0.0,0.9,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,brier_confidence,0.405,0.0,0.81,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,ece_self_consistency,0.16666666666666666,0.0,0.3333333333333333,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,brier_self_consistency,0.05555555555555555,0.0,0.1111111111111111,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,hallucination_rate,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,abstention_precision,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,abstention_recall_category5,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,abstention_recall_category4,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,behavior_success,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,hedging_success_category4,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,ece_confidence:5,0.44999999999999996,0.0,0.9,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,ece_confidence:15,0.45,0.0,0.9,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,hallucination_threshold_0.7,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,factual_low_resource,hallucination_threshold_0.9,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,ece_confidence,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,brier_confidence,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,ece_self_consistency,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,brier_self_consistency,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,hallucination_rate,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,abstention_precision,0.0,0.0,0.0,2,0,0,0,2,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,abstention_recall_category5,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,abstention_recall_category4,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,behavior_success,1.0,1.0,1.0,2,0,0,0,2,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,hedging_success_category4,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,ece_confidence:5,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,ece_confidence:15,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,hallucination_threshold_0.7,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,temporally_unstable,hallucination_threshold_0.9,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,ece_confidence,,,,1,0,0,1,1,1,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,brier_confidence,,,,1,0,0,1,1,1,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,ece_self_consistency,,,,1,0,0,1,1,1,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,brier_self_consistency,,,,1,0,0,1,1,1,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,hallucination_rate,0.0,0.0,0.0,1,0,0,1,1,1,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,abstention_precision,1.0,1.0,1.0,1,0,0,1,1,1,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,abstention_recall_category5,1.0,1.0,1.0,1,0,0,1,1,1,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,abstention_recall_category4,,,,1,0,0,1,1,1,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,behavior_success,1.0,1.0,1.0,1,0,0,1,1,1,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,hedging_success_category4,,,,1,0,0,1,1,1,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,ece_confidence:5,,,,1,0,0,1,1,1,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,ece_confidence:15,,,,1,0,0,1,1,1,0,2000
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,hallucination_threshold_0.7,0.0,0.0,0.0,1,0,0,1,1,1,2000,0
"PRELIMINARY, UNREVIEWED DATA",gemini,gemini-3.5-flash-lite,unanswerable_adversarial,hallucination_threshold_0.9,0.0,0.0,0.0,1,0,0,1,1,1,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,ece_confidence,0.22499999999999998,0.0,0.755,12,4,4,2,5,2,1981,19
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,brier_confidence,0.22625,0.0,0.722,12,4,4,2,5,2,1981,19
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,ece_self_consistency,0.16666666666666669,0.0,0.33333333333333337,12,4,4,2,5,2,1981,19
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,brier_self_consistency,0.05555555555555556,0.0,0.11111111111111113,12,4,4,2,5,2,1981,19
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,hallucination_rate,0.0,0.0,0.0,12,4,4,2,5,2,1792,208
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,abstention_precision,0.6,0.0,1.0,12,4,4,2,5,2,1998,2
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,abstention_recall_category5,1.0,1.0,1.0,12,4,4,2,5,2,1792,208
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,abstention_recall_category4,,,,12,4,4,2,5,2,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,behavior_success,1.0,1.0,1.0,12,4,4,2,5,2,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,hedging_success_category4,1.0,1.0,1.0,12,4,4,2,5,2,1738,262
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,ece_confidence:5,0.22499999999999998,0.0,0.755,12,4,4,2,5,2,1981,19
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,ece_confidence:15,0.22499999999999998,0.0,0.755,12,4,4,2,5,2,1981,19
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,hallucination_threshold_0.7,0.0,0.0,0.0,12,4,4,2,5,2,1792,208
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,overall,hallucination_threshold_0.9,0.0,0.0,0.0,12,4,4,2,5,2,1792,208
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,ece_confidence,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,brier_confidence,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,ece_self_consistency,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,brier_self_consistency,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,hallucination_rate,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,abstention_precision,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,abstention_recall_category5,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,abstention_recall_category4,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,behavior_success,1.0,1.0,1.0,2,0,0,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,hedging_success_category4,1.0,1.0,1.0,2,0,0,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,ece_confidence:5,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,ece_confidence:15,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,hallucination_threshold_0.7,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,ambiguous_contested,hallucination_threshold_0.9,,,,2,0,0,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,ece_confidence,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,brier_confidence,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,ece_self_consistency,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,brier_self_consistency,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,hallucination_rate,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,abstention_precision,1.0,1.0,1.0,2,0,0,0,1,0,1479,521
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,abstention_recall_category5,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,abstention_recall_category4,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,behavior_success,1.0,1.0,1.0,2,0,0,0,1,0,1479,521
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,hedging_success_category4,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,ece_confidence:5,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,ece_confidence:15,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,hallucination_threshold_0.7,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,code_switched,hallucination_threshold_0.9,,,,2,0,0,0,1,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,ece_confidence,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,brier_confidence,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,ece_self_consistency,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,brier_self_consistency,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,hallucination_rate,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,abstention_precision,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,abstention_recall_category5,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,abstention_recall_category4,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,behavior_success,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,hedging_success_category4,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,ece_confidence:5,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,ece_confidence:15,0.0,0.0,0.0,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,hallucination_threshold_0.7,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_high_certainty,hallucination_threshold_0.9,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,ece_confidence,0.44999999999999996,0.050000000000000044,0.95,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,brier_confidence,0.4525,0.0025000000000000044,0.9025,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,ece_self_consistency,0.33333333333333337,0.3333333333333333,0.33333333333333337,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,brier_self_consistency,0.11111111111111112,0.1111111111111111,0.11111111111111113,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,hallucination_rate,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,abstention_precision,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,abstention_recall_category5,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,abstention_recall_category4,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,behavior_success,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,hedging_success_category4,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,ece_confidence:5,0.44999999999999996,0.050000000000000044,0.95,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,ece_confidence:15,0.44999999999999996,0.050000000000000044,0.95,2,2,2,0,0,0,2000,0
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,hallucination_threshold_0.7,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,factual_low_resource,hallucination_threshold_0.9,,,,2,2,2,0,0,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,ece_confidence,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,brier_confidence,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,ece_self_consistency,,,,2,0,0,0,2,0,0,2000
"PRELIMINARY, UNREVIEWED DATA",groq,qwen/qwen3.8-27b,temporally_unstable,brier_self_consistency,,,,2,0,0,0,2,0,0,2000
